id,value_550
3,0.141
25,0.141
26,0.141
27,0.141
29,0.141
30,0.141
33,0.141
34,0.141
36,0.141
41,0.141
52,0.141
71,0.141
75,0.141
77,0.141
80,0.141
85,0.141
87,0.141
95,0.141
98,0.141
110,0.141
114,0.141
124,0.141
128,0.141
129,0.141
141,0.141
151,0.141
161,0.141
167,0.141
170,0.141
172,0.141
174,0.141
179,0.141
182,0.141
188,0.141
190,0.141
192,0.141
193,0.141
195,0.141
198,0.141
199,0.141
210,0.141
212,0.141
219,0.141
221,0.141
229,0.141
232,0.141
233,0.141
237,0.141
240,0.141
249,0.141
254,0.141
256,0.141
258,0.141
263,0.141
264,0.141
266,0.141
268,0.141
272,0.141
274,0.141
276,0.141
282,0.141
284,0.141
287,0.141
291,0.141
293,0.141
297,0.141
301,0.141
309,0.141
311,0.141
312,0.141
313,0.141
320,0.141
323,0.141
324,0.141
330,0.141
336,0.141
343,0.141
352,0.141
353,0.141
366,0.141
367,0.141
368,0.141
371,0.141
375,0.141
381,0.141
389,0.141
390,0.141
395,0.141
396,0.141
398,0.141
404,0.141
407,0.141
409,0.141
411,0.141
418,0.141
423,0.141
429,0.141
442,0.141
443,0.141
446,0.141
448,0.141
453,0.141
454,0.141
455,0.141
460,0.141
466,0.141
470,0.141
479,0.141
484,0.141
488,0.141
497,0.141
504,0.141
510,0.141
516,0.141
522,0.141
523,0.141
537,0.141
550,0.141
563,0.141
564,0.141
565,0.141
566,0.141
571,0.141
572,0.141
576,0.141
588,0.141
592,0.141
598,0.141
612,0.141
613,0.141
616,0.141
618,0.141
625,0.141
627,0.141
642,0.141
645,0.141
650,0.141
661,0.141
662,0.141
663,0.141
671,0.141
682,0.141
690,0.141
696,0.141
697,0.141
698,0.141
703,0.141
705,0.141
706,0.141
710,0.141
713,0.141
722,0.141
730,0.141
734,0.141
740,0.141
744,0.141
746,0.141
755,0.141
758,0.141
759,0.141
765,0.141
773,0.141
774,0.141
778,0.141
779,0.141
781,0.141
782,0.141
788,0.141
789,0.141
791,0.141
796,0.141
797,0.141
798,0.141
799,0.141
805,0.141
806,0.141
807,0.141
816,0.141
822,0.141
829,0.141
830,0.141
838,0.141
840,0.141
845,0.141
852,0.141
858,0.141
874,0.141
884,0.141
898,0.141
909,0.141
915,0.141
921,0.141
923,0.141
927,0.141
934,0.141
945,0.141
946,0.141
951,0.141
953,0.141
959,0.141
961,0.141
964,0.141
972,0.141
973,0.141
975,0.141
977,0.141
981,0.141
984,0.141
987,0.141
1000,0.141
1008,0.141
1016,0.141
1023,0.141
1032,0.141
1035,0.141
1036,0.141
1057,0.141
1061,0.141
1063,0.141
1064,0.141
1090,0.141
1102,0.141
1103,0.141
1105,0.141
1108,0.141
1113,0.141
1121,0.141
1124,0.141
1126,0.141
1127,0.141
1129,0.141
1132,0.141
1138,0.141
1158,0.141
1162,0.141
1165,0.141
1166,0.141
1185,0.141
1188,0.141
1194,0.141
1199,0.141
1210,0.141
1228,0.141
1231,0.141
1233,0.141
1235,0.141
1240,0.141
1243,0.141
1249,0.141
1251,0.141
1252,0.141
1256,0.141
1263,0.141
1268,0.141
1270,0.141
1271,0.141
1274,0.141
1276,0.141
1278,0.141
1282,0.141
1287,0.141
1288,0.141
1294,0.141
1296,0.141
1297,0.141
1316,0.141
1319,0.141
1321,0.141
1324,0.141
1326,0.141
1330,0.141
1333,0.141
1341,0.141
1343,0.141
1345,0.141
1348,0.141
1353,0.141
1355,0.141
1358,0.141
1365,0.141
1368,0.141
1369,0.141
1381,0.141
1404,0.141
1408,0.141
1422,0.141
1423,0.141
1432,0.141
1448,0.141
1452,0.141
1453,0.141
1459,0.141
1472,0.141
1478,0.141
1483,0.141
1484,0.141
1492,0.141
1501,0.141
1502,0.141
1512,0.141
1529,0.141
1538,0.141
1539,0.141
1540,0.141
1547,0.141
1551,0.141
1552,0.141
1558,0.141
1565,0.141
1566,0.141
1567,0.141
1574,0.141
1575,0.141
1578,0.141
1580,0.141
1581,0.141
1584,0.141
1600,0.141
1604,0.141
1605,0.141
1611,0.141
1612,0.141
1614,0.141
1616,0.141
1617,0.141
1626,0.141
1634,0.141
1635,0.141
1641,0.141
1656,0.141
1664,0.141
1665,0.141
1672,0.141
1676,0.141
1683,0.141
1692,0.141
1695,0.141
1696,0.141
1700,0.141
1701,0.141
1704,0.141
1706,0.141
1712,0.141
1713,0.141
1721,0.141
1722,0.141
1737,0.141
1739,0.141
1740,0.141
1743,0.141
1746,0.141
1747,0.141
1756,0.141
1763,0.141
1768,0.141
1772,0.141
1774,0.141
1785,0.141
1786,0.141
1790,0.141
1795,0.141
1798,0.141
1802,0.141
1805,0.141
1808,0.141
1812,0.141
1814,0.141
1816,0.141
1821,0.141
1823,0.141
1828,0.141
1831,0.141
1834,0.141
1853,0.141
1856,0.141
1876,0.141
1877,0.141
1881,0.141
1892,0.141
1901,0.141
1922,0.141
1923,0.141
1926,0.141
1932,0.141
1935,0.141
1941,0.141
1942,0.141
1947,0.141
1958,0.141
1962,0.141
1963,0.141
1979,0.141
1980,0.141
1985,0.141
1995,0.141
1999,0.141
2005,0.141
2009,0.141
2014,0.141
2015,0.141
2016,0.141
2020,0.141
2021,0.141
2028,0.141
2035,0.141
2039,0.141
2040,0.141
2043,0.141
2049,0.141
2052,0.141
2066,0.141
2067,0.141
2071,0.141
2079,0.141
2081,0.141
2082,0.141
2090,0.141
2097,0.141
2098,0.141
2099,0.141
2103,0.141
2111,0.141
2112,0.141
2122,0.141
2123,0.141
2130,0.141
2132,0.141
2141,0.141
2142,0.141
2144,0.141
2159,0.141
2161,0.141
2162,0.141
2164,0.141
2165,0.141
2167,0.141
2171,0.141
2174,0.141
2175,0.141
2176,0.141
2179,0.141
2180,0.141
2189,0.141
2194,0.141
2196,0.141
2202,0.141
2206,0.141
2209,0.141
2214,0.141
2216,0.141
2222,0.141
2231,0.141
2237,0.141
2238,0.141
2239,0.141
2240,0.141
2242,0.141
2254,0.141
2255,0.141
2256,0.141
2271,0.141
2273,0.141
2275,0.141
2278,0.141
2280,0.141
2289,0.141
2292,0.141
2296,0.141
2299,0.141
2302,0.141
2312,0.141
2313,0.141
2318,0.141
2319,0.141
2330,0.141
2334,0.141
2338,0.141
2342,0.141
2345,0.141
2348,0.141
2349,0.141
2350,0.141
2353,0.141
2356,0.141
2372,0.141
2378,0.141
2381,0.141
